Region,Date,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Area
Andhra Pradesh,2019-05-31,6.19,14475297,48.72,Rural
Andhra Pradesh,2019-06-30,5.53,14836412,43.48,Rural
Andhra Pradesh,2019-07-31,4.5,15024920,46.12,Rural
Andhra Pradesh,2019-08-31,5.66,14861256,44.71,Rural
Andhra Pradesh,2019-09-30,5.42,14538701,41.4,Rural
Andhra Pradesh,2019-10-31,5.41,15211793,39.88,Rural
Andhra Pradesh,2019-11-30,7.86,14895339,41.68,Rural
Andhra Pradesh,2019-12-31,5.44,14582618,49.24,Rural
Andhra Pradesh,2020-01-31,5.16,14801990,45.84,Rural
Andhra Pradesh,2020-02-29,3.65,15017187,40.7,Rural
Andhra Pradesh,2020-03-31,20.1,11216050,38.28,Rural
Andhra Pradesh,2020-04-30,23.25,11304548,38.03,Rural
Andhra Pradesh,2020-05-31,18.54,11648330,37.58,Rural
Andhra Pradesh,2020-06-30,23.75,10728866,38.8,Rural
Andhra Pradesh,2019-05-31,8.98,19142999,46.29,Urban
Andhra Pradesh,2019-06-30,6.58,19267561,46.02,Urban
Andhra Pradesh,2019-07-31,8.78,18600262,41.91,Urban
Andhra Pradesh,2019-08-31,6.93,18954986,40.91,Urban
Andhra Pradesh,2019-09-30,9.02,19239187,46.69,Urban
Andhra Pradesh,2019-10-31,10.72,18845730,38.8,Urban
Andhra Pradesh,2019-11-30,7.95,18759600,40.25,Urban
Andhra Pradesh,2019-12-31,7.91,19032177,44.49,Urban
Andhra Pradesh,2020-01-31,6.54,19152307,49.12,Urban
Andhra Pradesh,2020-02-29,8.37,19122692,43.76,Urban
Andhra Pradesh,2020-03-31,38.15,10844547,43.08,Urban
Andhra Pradesh,2020-04-30,34.11,11341251,35.29,Urban
Andhra Pradesh,2020-05-31,25.57,14347162,46.32,Urban
Andhra Pradesh,2020-06-30,36.31,10568938,37.95,Urban
Assam,2019-05-31,4.28,15511908,40.62,Rural
Assam,2019-06-30,8.12,15867104,39.72,Rural
Assam,2019-07-31,7.09,15684385,40.51,Rural
Assam,2019-08-31,8.79,15964365,43.75,Rural
Assam,2019-09-30,8.82,15447569,49.48,Rural
Assam,2019-10-31,6.89,15684074,38.69,Rural
Assam,2019-11-30,9.26,15736073,40.04,Rural
Assam,2019-12-31,8.82,15488294,48.75,Rural
Assam,2020-01-31,7.16,15668462,48.37,Rural
Assam,2020-02-29,8.99,15530653,39.9,Rural
Assam,2020-03-31,28.79,11042679,38.22,Rural
Assam,2020-04-30,28.17,10619863,38.85,Rural
Assam,2020-05-31,29.49,10142305,36.26,Rural
Assam,2020-06-30,27.99,10394528,43.52,Rural
Assam,2019-05-31,10.61,19973458,48.18,Urban
Assam,2019-06-30,8.57,19878197,43.17,Urban
Assam,2019-07-31,8.85,20086814,48.04,Urban
Assam,2019-08-31,11.76,20107638,40.77,Urban
Assam,2019-09-30,10.45,20039328,46.41,Urban
Assam,2019-10-31,10.13,19683497,39.88,Urban
Assam,2019-11-30,9.94,20154058,47.95,Urban
Assam,2019-12-31,9.89,19909809,38.75,Urban
Assam,2020-01-31,9.77,20268548,38.82,Urban
Assam,2020-02-29,10.02,19908870,38.91,Urban
Assam,2020-03-31,26.4,14503007,41.68,Urban
Assam,2020-04-30,36.72,12212699,34.87,Urban
Assam,2020-05-31,27.77,14615859,37.01,Urban
Assam,2020-06-30,27.61,14728896,34.82,Urban
Bihar,2019-05-31,6.92,9081572,44.94,Rural
Bihar,2019-06-30,4.62,9268661,38.56,Rural
Bihar,2019-07-31,3.24,8763068,45.16,Rural
Bihar,2019-08-31,5.24,8857841,47.78,Rural
Bihar,2019-09-30,4.97,8645912,49.23,Rural
Bihar,2019-10-31,4.83,8865766,46.42,Rural
Bihar,2019-11-30,8.06,9194235,38.5,Rural
Bihar,2019-12-31,6.66,8752715,38.74,Rural
Bihar,2020-01-31,5.65,9051929,46.83,Rural
Bihar,2020-02-29,4.99,9395828,48.28,Rural
Bihar,2020-03-31,18.74,7427965,40.83,Rural
Bihar,2020-04-30,27.54,6216457,35.35,Rural
Bihar,2020-05-31,22.44,6426672,45.32,Rural
Bihar,2020-06-30,20.99,6871446,39.94,Rural
Bihar,2019-05-31,7.05,11787319,44.01,Urban
Bihar,2019-06-30,5.26,11311965,48.81,Urban
Bihar,2019-07-31,8.57,11570723,48.75,Urban
Bihar,2019-08-31,7.57,11411616,48.35,Urban
Bihar,2019-09-30,10.63,11493184,39.38,Urban
Bihar,2019-10-31,6.47,11548067,44.41,Urban
Bihar,2019-11-30,7.02,11934302,46.1,Urban
Bihar,2019-12-31,7.52,11301756,44.92,Urban
Bihar,2020-01-31,7.97,11856961,44.69,Urban
Bihar,2020-02-29,7.09,11658810,44.42,Urban
Bihar,2020-03-31,33.56,6729665,33.93,Urban
Bihar,2020-04-30,23.04,8449688,41.71,Urban
Bihar,2020-05-31,37.51,6446926,36.93,Urban
Bihar,2020-06-30,37.3,6898827,35.74,Urban
Delhi,2019-05-31,7.97,15280794,49.95,Rural
Delhi,2019-06-30,7.7,15466223,46.89,Rural
Delhi,2019-07-31,9.76,15614889,44.61,Rural
